"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"137",640451,"Hunter Harvey","137","100.0","0.136","0.273","0.200","0.409","0.290","0.273","0.193","3","22","90.6","2.3","1996","94.7","93.68","17","67","70","-1.0","5.67","109","155","120","150","295","321","299"
"136",502085,"David Robertson","136","100.0","0.296","0.148","0.350","0.444","0.382","0.374","0.281","8","27","92.9","17.4","2621","88.4","88.45","15","52","84","0.1","6.39","110","149","115","148","296","319","287"
"136",643290,"Justin Dunn","136","100.0","0.105","0.000","0.125","0.105","0.265","0.314","0.148","2","19","88.0","26.3","2304","88.4","88.21","10","45","91","-0.2","6.10","103","150","113","147","304","322","296"
"135",572044,"Brooks Pounders","135","100.0","0.300","0.200","0.333","0.500","0.368","0.353","0.289","9","30","87.8","7.6","2276","88.0","88.09","15","63","71","0.1","6.15","108","144","109","143","296","319","297"
"134",664092,"Sean Poppen","134","100.0","0.323","0.258","0.429","0.581","0.419","0.367","0.281","10","31","90.6","5.3","2042","90.2","89.76","14","54","80","-0.4","5.97","110","149","116","145","294","326","291"
"134",543359,"Dan Jennings","134","100.0","0.333","0.125","0.500","0.458","0.408","0.386","0.279","8","24","88.2","5.3","2392","87.6","87.13","15","46","86","-0.5","5.93","107","146","109","146","298","312","297"
"134",642770,"Javy Guerra","134","100.0","0.219","0.344","0.167","0.563","0.341","0.347","0.246","7","32","87.8","9.2","2324","95.5","94.84","11","64","70","-0.7","5.76","118","154","121","149","304","332","311"
"132",453214,"Steven Wright","132","100.0","0.407","0.370","0.400","0.778","0.510","0.468","0.372","11","27","90.6","12.8","1946","74.8","74.67","12","52","79","-0.1","5.86","111","150","127","148","278","322","298"
"130",642121,"Cole Sulser","130","100.0","0.192","0.038","0.294","0.231","0.235","0.191","0.120","5","26","89.4","21.3","2302","90.6","90.84","16","62","68","0.2","6.42","114","159","115","151","301","323","298"
"129",650530,"Bryan Garcia","129","100.0","0.321","0.179","0.400","0.500","0.388","0.304","0.220","9","28","88.9","13.7","2308","90.9","90.08","19","65","64","-0.8","5.77","109","146","115","147","296","329","291"
"123",624586,"James Hoyt","123","100.0","0.200","0.267","0.222","0.467","0.298","0.315","0.248","6","30","92.5","11.8","2204","89.0","88.89","22","55","68","-0.1","5.99","110","153","118","150","290","317","292"
"121",642008,"Jacob Rhame","121","100.0","0.150","0.250","0.143","0.400","0.368","0.384","0.191","3","20","87.2","19.2","2452","91.9","90.51","10","52","69","-1.4","5.52","114","151","113","148","291","321","305"
"118",502593,"Jake Petricka","118","100.0","0.207","0.103","0.222","0.310","0.279","0.311","0.235","6","29","88.6","6.2","2060","90.9","92.35","8","44","74","1.5","7.03","110","149","115","157","304","319","300"
"117",519043,"Matt Moore","117","100.0","0.094","0.000","0.130","0.094","0.100","0.236","0.205","3","32","85.6","2.6","2200","89.3","88.44","19","60","57","-0.9","5.83","107","151","117","148","296","328","305"
"115",448614,"Carlos Torres","115","100.0","0.333","0.259","0.412","0.593","0.410","0.351","0.301","9","27","87.8","11.8","2318","88.1","87.80","15","51","63","-0.3","5.84","115","146","132","148","297","329","283"
"114",572086,"Brady Rodgers","114","100.0","0.318","0.591","0.214","0.909","0.521","0.486","0.336","7","22","89.6","12.6","2491","86.3","85.99","13","59","55","-0.3","6.02","112","149","124","149","287","305","295"
"114",658791,"Wei-Chieh Huang","114","100.0","0.308","0.154","0.333","0.462","0.394","0.435","0.334","8","26","88.5","19.7","2377","86.6","85.76","6","50","63","-0.8","5.79","103","150","114","149","302","326","304"
"112",572383,"Brian Moran","112","100.0","0.250","0.250","0.385","0.500","0.353","0.299","0.202","6","24","80.8","11.2","2351","79.0","79.32","16","54","56","0.3","6.65","108","154","116","149","300","330","297"
"112",594056,"Reymin Guduan","112","100.0","0.364","0.455","0.357","0.818","0.499","0.504","0.310","8","22","97.3","20.8","2289","90.7","89.54","16","45","67","-1.2","5.57","110","153","116","149","295","307","285"
"107",500724,"JC Ramirez","107","100.0","0.250","0.281","0.259","0.531","0.343","0.351","0.295","8","32","90.1","3.1","2086","86.0","85.90","12","53","53","-0.1","6.01","112","148","117","148","287","318","293"
"107",534910,"Jesse Hahn","107","100.0","0.333","0.238","0.462","0.571","0.439","0.424","0.290","7","21","93.5","7.5","2428","91.8","91.32","14","46","61","-0.5","5.93","107","149","117","142","306","326","305"
"104",456387,"Ryan Feierabend","104","100.0","0.393","0.286","0.409","0.679","0.458","0.334","0.302","11","28","87.6","13.4","1999","77.3","76.88","14","60","44","-0.4","6.17","103","150","118","145","309","326","298"
"104",650813,"Luis Escobar","104","100.0","0.455","0.227","0.450","0.682","0.502","0.462","0.373","10","22","88.2","8.9","2134","90.9","91.23","10","47","55","0.3","6.38","111","146","124","147","307","327","299"
"104",502381,"Luke Gregerson","104","100.0","0.423","0.077","0.458","0.500","0.409","0.288","0.277","11","26","90.3","6.2","2292","84.3","83.22","5","50","54","-1.1","5.38","110","149","112","147","296","321","299"
"104",623454,"Drew Anderson","104","100.0","0.250","0.125","0.294","0.375","0.326","0.353","0.301","6","24","90.4","12.7","2401","86.9","85.98","17","49","55","-0.9","5.88","112","151","120","149","294","316","299"
"104",643354,"Donnie Hart","104","100.0","0.160","0.000","0.182","0.160","0.199","0.321","0.236","4","25","85.8","-5.4","2170","83.5","82.84","14","48","56","-0.7","6.12","110","153","116","151","300","315","296"
"104",642701,"Dennis Santana","104","100.0","0.300","0.250","0.357","0.550","0.417","0.358","0.243","6","20","86.4","6.5","2588","87.9","87.30","14","46","56","-0.6","5.73","107","157","122","142","302","325","294"
"103",642226,"Matt Wotherspoon","103","100.0","0.435","0.304","0.421","0.739","0.517","0.540","0.486","10","23","86.7","13.6","2085","87.9","87.41","11","48","54","-0.5","5.94","104","154","118","144","294","322","304"
"102",621294,"Ben Heller","102","100.0","0.250","0.167","0.357","0.417","0.312","0.310","0.233","6","24","86.9","10.1","2325","88.2","87.30","14","38","62","-0.9","5.93","111","151","125","148","299","316","287"
"102",622766,"Miguel Diaz","102","100.0","0.346","0.308","0.381","0.654","0.441","0.366","0.293","9","26","88.4","14.3","2156","91.2","90.08","8","43","57","-1.1","5.41","105","148","112","145","308","332","308"
"100",622795,"Yohander Mendez","100","100.0","0.250","0.375","0.333","0.625","0.437","0.405","0.227","4","16","91.0","20.5","2044","88.9","88.54","13","30","69","-0.4","6.04","111","158","118","149","291","318","299"
"99",670329,"Rico Garcia","99","100.0","0.360","0.480","0.300","0.840","0.525","0.455","0.337","9","25","91.7","15.4","2117","86.4","86.50","6","37","62","0.1","5.92","117","155","117","149","318","343","312"
"96",621289,"Jaime Schultz","96","100.0","0.316","0.263","0.333","0.579","0.416","0.358","0.265","6","19","91.6","24.2","2476","90.9","89.63","11","47","49","-1.3","5.33","112","157","131","141","298","318","296"
"95",623474,"Jimmy Herget","95","100.0","0.348","0.348","0.286","0.696","0.463","0.413","0.348","8","23","87.0","21.8","2417","89.3","86.89","7","42","53","-2.4","4.81","112","148","117","143","289","316","285"
"94",675916,"James Karinchak","94","100.0","0.150","0.050","0.231","0.200","0.167","0.245","0.221","3","20","86.5","13.4","2461","91.5","90.50","17","49","45","-1.0","5.69","106","149","114","148","286","318","292"
